Id,MSSubClass,LotFrontage,LotArea,Street,BldgType,OverallQual,YearBuilt,TotalBsmtSF,FullBath,HalfBath,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SalePrice
34,20,70,10552,Pave,1Fam,5,1959,1398,1,1,1,Gd,Attchd,1959,RFn,2,447,165500
35,120,60,7313,Pave,TwnhsE,9,2005,1561,2,0,1,Gd,Attchd,2005,Fin,2,556,277500
36,60,108,13418,Pave,1Fam,8,2004,1117,3,1,1,Gd,BuiltIn,2004,Fin,3,691,309000
37,20,112,10859,Pave,1Fam,5,1994,1097,1,1,0,NA,Attchd,1995,Unf,2,672,145000
38,20,74,8532,Pave,1Fam,5,1954,1297,1,0,1,TA,Attchd,1954,Fin,2,498,153000
39,20,68,7922,Pave,1Fam,5,1953,1057,1,0,0,NA,Detchd,1953,Unf,1,246,109000
40,90,65,6040,Pave,Duplex,4,1955,0,2,0,0,NA,NA,NA,NA,0,0,82000
41,20,84,8658,Pave,1Fam,6,1965,1088,2,0,1,TA,Attchd,1965,RFn,2,440,160000
42,20,115,16905,Pave,1Fam,5,1959,1350,1,1,2,Gd,Attchd,1959,RFn,1,308,170000
43,85,NA,9180,Pave,1Fam,5,1983,840,1,0,0,NA,Attchd,1983,RFn,2,504,144000
44,20,NA,9200,Pave,1Fam,5,1975,938,1,0,0,NA,Detchd,1977,Unf,1,308,130250
45,20,70,7945,Pave,1Fam,5,1959,1150,1,0,0,NA,Attchd,1959,RFn,1,300,141000
46,120,61,7658,Pave,TwnhsE,9,2005,1752,2,0,1,Gd,Attchd,2005,RFn,2,576,319900
47,50,48,12822,Pave,1Fam,7,2003,1434,1,1,1,Ex,Attchd,2003,RFn,2,670,239686
48,20,84,11096,Pave,1Fam,8,2006,1656,2,0,0,NA,Attchd,2006,RFn,3,826,249700
49,190,33,4456,Pave,2fmCon,4,1920,736,2,0,0,NA,NA,NA,NA,0,0,113000
50,20,66,7742,Pave,1Fam,5,1966,955,1,0,0,NA,Attchd,1966,Unf,1,386,127000
51,60,NA,13869,Pave,1Fam,6,1997,794,2,0,0,NA,Attchd,1997,Fin,2,388,177000
52,50,52,6240,Pave,1Fam,6,1934,816,1,0,1,Gd,Detchd,1985,Unf,2,528,114500
53,90,110,8472,Grvl,Duplex,5,1963,816,1,0,0,NA,CarPort,1963,Unf,2,516,110000
54,20,68,50271,Pave,1Fam,9,1981,1842,0,1,1,Gd,Attchd,1981,Fin,3,894,385000
55,80,60,7134,Pave,1Fam,5,1955,384,1,0,1,TA,Detchd,1962,Unf,2,572,130000
56,20,100,10175,Pave,1Fam,6,1964,1425,2,0,1,Gd,Attchd,1964,RFn,2,576,180500
57,160,24,2645,Pave,Twnhs,8,1999,970,2,1,0,NA,Attchd,1999,Fin,2,480,172500
58,60,89,11645,Pave,1Fam,7,2004,860,2,1,0,NA,Attchd,2004,RFn,2,565,196500
59,60,66,13682,Pave,1Fam,10,2006,1410,3,1,1,Gd,BuiltIn,2006,Fin,3,641,438780
60,20,60,7200,Pave,1Fam,5,1972,780,1,0,0,NA,Detchd,1973,Unf,1,352,124900
61,20,63,13072,Pave,1Fam,6,2004,1158,1,1,0,NA,Detchd,2006,Unf,2,576,158000
62,75,60,7200,Pave,1Fam,5,1920,530,1,0,0,NA,Detchd,1935,Unf,1,288,101000
63,120,44,6442,Pave,TwnhsE,8,2006,1370,2,0,1,Gd,Attchd,2006,RFn,2,484,202500
64,70,50,10300,Pave,1Fam,7,1921,576,2,0,0,NA,Detchd,1990,Unf,2,480,140000
65,60,NA,9375,Pave,1Fam,7,1997,1057,2,1,0,NA,Attchd,1998,RFn,2,645,219500
66,60,76,9591,Pave,1Fam,8,2004,1143,2,1,1,Gd,BuiltIn,2004,RFn,3,852,317000
67,20,NA,19900,Pave,1Fam,7,1970,1947,2,0,1,Gd,Attchd,1970,RFn,2,576,180000
68,20,72,10665,Pave,1Fam,7,2003,1453,2,0,0,NA,Attchd,2003,RFn,2,558,226000
69,30,47,4608,Pave,1Fam,4,1945,747,1,0,0,NA,Attchd,1945,Unf,1,220,80000
70,50,81,15593,Pave,1Fam,7,1953,1304,2,0,1,TA,Attchd,1953,Fin,2,667,225000
71,20,95,13651,Pave,1Fam,7,1973,2223,2,0,2,Gd,Attchd,1973,Fin,2,516,244000
72,20,69,7599,Pave,1Fam,4,1982,845,1,0,0,NA,Detchd,1987,Unf,2,360,129500
73,60,74,10141,Pave,1Fam,7,1998,832,2,1,1,TA,Attchd,1998,Fin,2,427,185000
74,20,85,10200,Pave,1Fam,5,1954,1086,1,0,0,NA,Attchd,1989,Unf,2,490,144900
75,50,60,5790,Pave,1Fam,3,1915,840,2,0,0,NA,Detchd,1915,Unf,1,379,107400
76,180,21,1596,Pave,Twnhs,4,1973,462,1,0,0,NA,BuiltIn,1973,Unf,1,297,91000
77,20,NA,8475,Pave,1Fam,4,1956,952,1,0,0,NA,Detchd,1956,Unf,1,283,135750
78,50,50,8635,Pave,1Fam,5,1948,672,1,0,0,NA,Detchd,1948,Unf,1,240,127000
79,90,72,10778,Pave,Duplex,4,1968,1768,2,0,0,NA,NA,NA,NA,0,0,136500
80,50,60,10440,Pave,1Fam,5,1910,440,1,1,0,NA,Detchd,1966,Unf,2,440,110000
81,60,100,13000,Pave,1Fam,6,1968,896,2,1,1,Gd,Attchd,1968,Fin,1,509,193500
82,120,32,4500,Pave,TwnhsE,6,1998,1237,2,0,0,NA,Attchd,1998,Fin,2,405,153500
83,20,78,10206,Pave,1Fam,8,2007,1563,2,0,1,Gd,Attchd,2007,RFn,3,758,245000
84,20,80,8892,Pave,1Fam,5,1960,1065,1,1,0,NA,Detchd,1974,Unf,2,461,126500
85,80,NA,8530,Pave,1Fam,7,1995,384,2,1,1,TA,BuiltIn,1995,Fin,2,400,168500
86,60,121,16059,Pave,1Fam,8,1991,1288,2,1,1,TA,Attchd,1991,Unf,2,462,260000
87,60,122,11911,Pave,1Fam,6,2005,684,2,1,1,Gd,BuiltIn,2005,Fin,2,400,174000
88,160,40,3951,Pave,TwnhsE,6,2009,612,2,1,0,NA,Detchd,2009,RFn,2,528,164500
89,50,105,8470,Pave,1Fam,3,1915,1013,1,0,0,NA,NA,NA,NA,0,0,85000
90,20,60,8070,Pave,1Fam,4,1994,990,1,0,0,NA,NA,NA,NA,0,0,123600
91,20,60,7200,Pave,1Fam,4,1950,0,1,0,0,NA,Detchd,1950,Unf,2,420,109900
92,20,85,8500,Pave,1Fam,5,1961,1235,1,0,0,NA,Attchd,1961,Unf,2,480,98600
93,30,80,13360,Pave,1Fam,5,1921,876,1,0,0,NA,Detchd,1921,Unf,2,432,163500
94,190,60,7200,Pave,2fmCon,6,1910,1214,2,0,1,Gd,Detchd,1900,Unf,2,506,133900
95,60,69,9337,Pave,1Fam,6,1997,824,2,1,0,NA,Attchd,1997,RFn,2,684,204750
96,60,NA,9765,Pave,1Fam,6,1993,680,2,1,1,TA,BuiltIn,1993,Fin,2,420,185000
97,20,78,10264,Pave,1Fam,7,1999,1588,2,0,0,NA,Attchd,1999,RFn,2,472,214000
98,20,73,10921,Pave,1Fam,4,1965,960,1,0,0,NA,Attchd,1965,Fin,1,432,94750
99,30,85,10625,Pave,1Fam,5,1920,458,1,0,0,NA,Basment,1920,Unf,1,366,83000
100,20,77,9320,Pave,1Fam,4,1959,950,1,1,0,NA,NA,NA,NA,0,0,128950
101,20,NA,10603,Pave,1Fam,6,1977,1610,2,0,2,TA,Attchd,1977,RFn,2,480,205000
102,60,77,9206,Pave,1Fam,6,1985,741,2,1,1,TA,Attchd,1985,Fin,2,476,178000
103,90,64,7018,Pave,Duplex,5,1979,0,2,0,0,NA,Attchd,1979,Unf,2,410,118964
104,20,94,10402,Pave,1Fam,7,2009,1226,2,0,0,NA,Attchd,2009,RFn,3,740,198900
105,50,NA,7758,Pave,1Fam,7,1931,1040,1,1,2,TA,Detchd,1951,Unf,1,240,169500
106,60,75,9375,Pave,1Fam,8,2003,1053,2,1,1,Gd,Attchd,2003,RFn,2,648,250000
107,30,60,10800,Pave,1Fam,4,1885,641,1,0,0,NA,Detchd,1954,Unf,1,273,100000
108,20,50,6000,Pave,1Fam,5,1948,789,1,0,0,NA,Detchd,1948,Unf,1,250,115000
109,50,85,8500,Pave,1Fam,5,1919,793,2,0,0,NA,NA,NA,NA,0,0,115000
110,20,105,11751,Pave,1Fam,6,1977,1844,2,0,1,TA,Attchd,1977,RFn,2,546,190000
111,50,75,9525,Pave,1Fam,6,1954,994,2,0,0,NA,Attchd,1954,Unf,1,325,136900
112,80,NA,7750,Pave,1Fam,7,2000,384,2,1,1,TA,BuiltIn,2000,Fin,2,400,180000
113,60,77,9965,Pave,1Fam,7,2007,1264,2,1,1,Gd,BuiltIn,2007,Fin,3,792,383970
114,20,NA,21000,Pave,1Fam,6,1953,1809,2,0,2,Gd,Basment,1953,Unf,2,450,217000
115,70,61,7259,Pave,1Fam,6,1945,1028,2,1,1,TA,Detchd,1945,Unf,1,180,259500
116,160,34,3230,Pave,TwnhsE,6,1999,729,2,1,1,Fa,Detchd,1999,Unf,2,440,176000
117,20,NA,11616,Pave,1Fam,5,1962,1092,1,0,1,Po,Attchd,1962,Unf,1,288,139000
118,20,74,8536,Pave,1Fam,5,2006,1125,1,1,0,NA,Attchd,2007,Unf,2,430,155000
119,60,90,12376,Pave,1Fam,7,1990,1673,3,0,2,TA,Attchd,1990,Unf,3,594,320000
120,60,65,8461,Pave,1Fam,6,2005,728,2,1,1,Gd,Attchd,2005,Fin,2,390,163990
121,80,NA,21453,Pave,1Fam,6,1969,938,1,0,2,TA,Attchd,1969,Unf,2,540,180000
122,50,50,6060,Pave,1Fam,4,1939,732,1,0,0,NA,Detchd,1979,Unf,1,264,100000
123,20,75,9464,Pave,1Fam,6,1958,1080,1,0,0,NA,Attchd,1958,Unf,1,288,136000
124,120,55,7892,Pave,TwnhsE,6,1993,1199,2,0,0,NA,Attchd,1993,RFn,2,530,153900
125,20,48,17043,Pave,1Fam,6,1979,1362,2,0,1,TA,Attchd,1979,Unf,2,435,181000
126,190,60,6780,Pave,2fmCon,6,1935,520,1,0,0,NA,NA,NA,NA,0,0,84500
127,120,NA,4928,Pave,TwnhsE,6,1976,1078,2,0,1,TA,Attchd,1977,RFn,2,440,128000
128,45,55,4388,Pave,1Fam,5,1930,672,1,0,1,TA,NA,NA,NA,0,0,87000
129,60,69,7590,Pave,1Fam,6,1966,660,1,1,1,Fa,Attchd,1966,RFn,2,453,155000
130,20,69,8973,Pave,1Fam,5,1958,1008,1,1,0,NA,2Types,1998,RFn,2,750,150000
131,60,88,14200,Pave,1Fam,7,1966,924,2,1,2,Gd,Attchd,1966,Fin,2,487,226000
132,60,NA,12224,Pave,1Fam,6,2000,992,2,1,1,TA,BuiltIn,2000,RFn,2,390,244000
133,20,75,7388,Pave,1Fam,5,1959,1063,1,0,0,NA,Detchd,1974,Unf,2,624,150750
134,20,NA,6853,Pave,1Fam,8,2001,1267,2,0,0,NA,Attchd,2001,Fin,2,471,220000
135,20,78,10335,Pave,1Fam,5,1968,1461,2,1,1,TA,Attchd,1968,RFn,2,440,180000
136,20,80,10400,Pave,1Fam,7,1970,1304,2,0,1,Gd,Attchd,1970,Unf,2,530,174000
137,20,NA,10355,Pave,1Fam,5,1967,1214,2,0,1,Fa,Attchd,1967,RFn,1,318,143000
138,90,82,11070,Pave,Duplex,7,1988,1907,3,0,0,NA,2Types,1989,Unf,3,766,171000
139,60,73,9066,Pave,1Fam,8,1999,1004,2,1,2,TA,Attchd,1999,Fin,3,660,230000
140,60,65,15426,Pave,1Fam,6,1997,928,2,1,0,NA,Attchd,1997,RFn,2,470,231500
141,20,70,10500,Pave,1Fam,4,1971,864,1,0,1,Po,NA,NA,NA,0,0,115000
142,20,78,11645,Pave,1Fam,7,2005,1734,2,0,0,NA,Attchd,2005,Fin,2,660,260000
143,50,71,8520,Pave,1Fam,5,1952,910,2,0,0,NA,Detchd,2000,Unf,2,720,166000
144,20,78,10335,Pave,1Fam,7,1999,1490,2,0,0,NA,Attchd,1999,RFn,2,577,204000
145,90,70,9100,Pave,Duplex,5,1963,1728,2,0,0,NA,Detchd,1963,Unf,2,504,125000
146,160,24,2522,Pave,Twnhs,6,2004,970,2,0,0,NA,Detchd,2004,Unf,2,380,130000
147,30,51,6120,Pave,1Fam,5,1931,715,1,0,0,NA,Detchd,1931,Unf,1,180,105000
148,60,NA,9505,Pave,1Fam,7,2001,884,2,1,1,Gd,BuiltIn,2001,Fin,2,434,222500
149,20,63,7500,Pave,1Fam,7,2004,1080,1,0,0,NA,NA,NA,NA,0,0,141000
150,50,NA,6240,Pave,1Fam,5,1936,896,1,0,0,NA,Detchd,1936,Unf,1,240,115000
151,20,120,10356,Pave,1Fam,5,1975,969,1,1,0,NA,Attchd,1975,Unf,2,440,122000
152,20,107,13891,Pave,1Fam,8,2007,1710,2,0,1,Gd,Attchd,2007,RFn,3,866,372402
153,60,NA,14803,Pave,1Fam,6,1971,825,2,1,1,Gd,Attchd,1971,RFn,2,495,190000
154,20,NA,13500,Pave,1Fam,6,1960,1602,1,0,1,Gd,Attchd,1960,RFn,2,564,235000
155,30,84,11340,Pave,1Fam,6,1923,1200,1,0,0,NA,Detchd,1923,Unf,1,312,125000
156,50,60,9600,Pave,1Fam,6,1924,572,1,0,0,NA,NA,NA,NA,0,0,79000
157,20,60,7200,Pave,1Fam,5,1950,0,1,0,0,NA,Detchd,1950,Unf,2,625,109500
158,60,92,12003,Pave,1Fam,8,2009,774,2,1,1,Gd,BuiltIn,2009,Fin,3,680,269500
159,60,100,12552,Pave,1Fam,7,2004,991,2,1,1,Gd,Attchd,2004,RFn,2,678,254900
160,60,134,19378,Pave,1Fam,7,2005,1392,2,1,1,Gd,Attchd,2006,RFn,2,576,320000
161,20,NA,11120,Pave,1Fam,6,1984,1232,2,0,0,NA,Attchd,1984,Unf,2,516,162500
162,60,110,13688,Pave,1Fam,9,2003,1572,2,1,2,Gd,BuiltIn,2003,Fin,3,726,412500
163,20,95,12182,Pave,1Fam,7,2005,1541,2,0,1,Gd,Attchd,2005,RFn,2,532,220000
164,45,55,5500,Pave,1Fam,4,1956,882,1,0,0,NA,NA,NA,NA,0,0,103200
165,40,40,5400,Pave,1Fam,6,1926,1149,2,0,0,NA,Detchd,1926,Unf,1,216,152000
166,190,62,10106,Pave,2fmCon,5,1940,644,2,0,0,NA,NA,NA,NA,0,0,127500
167,20,NA,10708,Pave,1Fam,5,1955,1617,1,0,3,Gd,Attchd,1955,Fin,1,303,190000
168,60,86,10562,Pave,1Fam,8,2007,1582,1,1,1,Gd,Attchd,2007,Fin,3,789,325624
169,60,62,8244,Pave,1Fam,7,2004,840,2,1,1,Gd,Attchd,2004,Fin,2,440,183500
170,20,NA,16669,Pave,1Fam,8,1981,1686,2,1,1,TA,Attchd,1981,RFn,2,511,228000
171,50,NA,12358,Pave,1Fam,5,1941,720,1,1,0,NA,Detchd,1991,Unf,2,660,128500
172,20,141,31770,Pave,1Fam,6,1960,1080,1,0,2,Gd,Attchd,1960,Fin,2,528,215000
173,160,44,5306,Pave,TwnhsE,7,1987,1064,2,0,1,TA,Attchd,1987,RFn,2,504,239000
174,20,80,10197,Pave,1Fam,6,1961,1362,1,1,1,TA,Attchd,1961,Unf,2,504,163000
175,20,47,12416,Pave,1Fam,6,1986,1606,2,0,1,TA,Attchd,1986,Fin,2,616,184000
176,20,84,12615,Pave,1Fam,6,1950,1202,2,0,1,Gd,Attchd,1950,Unf,2,576,243000
177,60,97,10029,Pave,1Fam,6,1988,1151,2,1,1,TA,Attchd,1988,Unf,2,521,211000
178,50,NA,13650,Pave,1Fam,5,1958,1052,2,0,1,Gd,Attchd,1958,Unf,2,451,172500
179,20,63,17423,Pave,1Fam,9,2008,2216,2,0,1,Gd,Attchd,2009,Fin,3,1166,501837
180,30,60,8520,Pave,1Fam,5,1923,968,1,0,0,NA,Detchd,1935,Unf,2,480,100000
181,160,NA,2117,Pave,Twnhs,6,2000,756,2,1,1,TA,Detchd,2000,Unf,2,440,177000
182,70,54,7588,Pave,1Fam,7,1920,793,1,1,1,Gd,Detchd,1920,Unf,1,216,200100
183,20,60,9060,Pave,1Fam,5,1957,0,1,0,1,Gd,Attchd,1957,RFn,1,252,120000
184,50,63,11426,Pave,1Fam,7,2003,1362,2,1,0,NA,Detchd,2003,Unf,2,484,200000
185,50,92,7438,Pave,1Fam,5,1908,504,1,0,0,NA,Attchd,1986,Unf,2,576,127000
186,75,90,22950,Pave,1Fam,10,1892,1107,2,1,2,TA,Detchd,1993,Unf,3,840,475000
187,80,NA,9947,Pave,1Fam,7,1990,1188,2,0,0,NA,Attchd,1990,Unf,2,497,173000
188,50,60,10410,Pave,1Fam,5,1916,660,2,1,0,NA,Detchd,1916,Unf,1,180,135000
189,90,64,7018,Pave,Duplex,5,1979,1086,0,2,2,TA,Detchd,1979,Unf,2,528,153337
190,120,41,4923,Pave,TwnhsE,8,2001,1593,1,1,1,Gd,Attchd,2001,Fin,2,682,286000
191,70,70,10570,Pave,1Fam,8,1932,853,2,1,2,TA,Detchd,1932,Unf,2,440,315000
192,60,NA,7472,Pave,1Fam,7,1972,725,1,1,0,NA,Attchd,1972,Fin,2,484,184000
193,20,68,9017,Pave,1Fam,7,1999,1431,2,0,0,NA,Attchd,1999,Fin,2,666,192000
194,160,24,2522,Pave,Twnhs,7,2004,970,2,0,0,NA,Detchd,2004,Unf,2,380,130000
195,20,60,7180,Pave,1Fam,5,1972,864,1,0,0,NA,Detchd,1989,Unf,1,352,127000
196,160,24,2280,Pave,Twnhs,6,1976,855,2,1,1,TA,Attchd,1976,Unf,2,440,148500
197,20,79,9416,Pave,1Fam,7,2007,1726,2,0,1,Gd,Attchd,2007,Fin,3,786,311872
198,75,174,25419,Pave,1Fam,8,1918,1360,2,0,1,Ex,Detchd,1918,Unf,2,795,235000
199,75,92,5520,Pave,1Fam,6,1912,755,1,0,0,NA,NA,NA,NA,0,0,104000
200,20,76,9591,Pave,1Fam,8,2004,1713,2,0,1,Gd,Attchd,2004,Fin,3,856,274900
201,20,80,8546,Pave,1Fam,4,2003,1121,2,0,0,NA,Attchd,2003,RFn,2,440,140000
202,20,75,10125,Pave,1Fam,6,1977,1196,2,0,2,Fa,Detchd,1980,Unf,2,473,171500
203,50,50,7000,Pave,1Fam,6,1924,617,2,0,0,NA,Attchd,1924,Unf,1,398,112000
204,120,NA,4438,Pave,TwnhsE,6,2004,848,1,0,1,Gd,Attchd,2004,RFn,2,420,149000
205,50,50,3500,Pave,1Fam,5,1947,720,1,1,0,NA,Detchd,1948,Unf,1,240,110000
206,20,99,11851,Pave,1Fam,7,1990,1424,2,0,0,NA,Attchd,1990,RFn,2,500,180500
207,20,40,13673,Pave,1Fam,5,1962,1140,1,1,1,TA,Attchd,1962,RFn,1,349,143900
208,20,NA,12493,Pave,1Fam,4,1960,1100,1,0,1,Po,Attchd,1960,RFn,1,312,141000
209,60,NA,14364,Pave,1Fam,7,1988,1157,2,1,1,Gd,Attchd,1988,Fin,2,454,277000
210,20,75,8250,Pave,1Fam,6,1964,1092,1,0,0,NA,Attchd,1964,RFn,2,504,145000
211,30,67,5604,Pave,1Fam,5,1925,864,1,0,0,NA,NA,NA,NA,0,0,98000
212,20,83,10420,Pave,1Fam,6,2009,1212,2,0,0,NA,Attchd,2009,RFn,2,460,186000
213,60,72,8640,Pave,1Fam,7,2009,900,2,1,1,TA,Attchd,2009,RFn,2,644,252678
214,20,43,13568,Pave,1Fam,5,1995,990,1,0,0,NA,Attchd,1996,Unf,2,576,156000
215,60,NA,10900,Pave,1Fam,6,1977,689,1,1,0,NA,Attchd,1977,Fin,1,299,161750
216,20,72,10011,Pave,1Fam,5,1957,1070,1,0,1,Fa,Attchd,1957,Unf,1,447,134450
217,20,65,8450,Pave,1Fam,7,2004,1436,2,0,0,NA,Attchd,2004,Unf,2,484,210000
218,70,57,9906,Pave,1Fam,4,1925,686,1,0,0,NA,Detchd,1940,Unf,1,210,107000
219,50,NA,15660,Pave,1Fam,7,1939,798,1,1,2,TA,Attchd,1939,Unf,2,431,311500
220,120,43,3010,Pave,TwnhsE,7,2005,1248,2,0,0,NA,Attchd,2005,Fin,2,438,167240
221,20,73,8990,Pave,1Fam,7,2006,1498,2,0,0,NA,Attchd,2006,RFn,2,675,204900
222,60,NA,8068,Pave,1Fam,6,2002,1010,2,1,1,TA,BuiltIn,2002,RFn,2,390,200000
223,60,85,11475,Pave,1Fam,6,1975,713,2,1,1,TA,Attchd,1975,RFn,2,434,179900
224,20,70,10500,Pave,1Fam,4,1971,864,1,0,0,NA,Detchd,1989,Unf,2,576,97000
225,20,103,13472,Pave,1Fam,10,2003,2392,2,0,1,Ex,Attchd,2003,Fin,3,968,386250
226,160,21,1680,Pave,Twnhs,5,1971,630,2,1,0,NA,Detchd,1991,Unf,1,280,112000
227,60,82,9950,Pave,1Fam,7,1995,1203,2,1,1,TA,Attchd,1995,RFn,3,721,290000
228,160,21,1869,Pave,Twnhs,6,1970,483,1,1,0,NA,Detchd,1987,Unf,1,280,106000
229,20,70,8521,Pave,1Fam,5,1967,912,1,0,1,Fa,Detchd,1974,Unf,1,336,125000
230,120,43,3182,Pave,TwnhsE,7,2005,1373,2,0,1,TA,Attchd,2005,Fin,2,430,192500
231,20,73,8760,Pave,1Fam,6,1959,1194,1,0,0,NA,Attchd,1959,RFn,1,312,148000
232,60,174,15138,Pave,1Fam,8,1995,1462,2,1,1,TA,Attchd,1995,Fin,3,810,403000
233,160,21,1680,Pave,Twnhs,6,1972,483,1,1,1,Po,Attchd,1972,Unf,1,288,94500
234,20,75,10650,Pave,1Fam,5,1976,894,1,0,0,NA,Attchd,1976,Unf,1,308,128200
235,60,NA,7851,Pave,1Fam,6,2002,860,2,1,2,TA,BuiltIn,2002,Fin,2,440,216500
236,160,21,1680,Pave,TwnhsE,6,1971,483,1,1,0,NA,Detchd,1971,Unf,1,264,89500
237,20,65,8773,Pave,1Fam,7,2004,1414,2,0,0,NA,Attchd,2004,RFn,2,494,185500
238,60,NA,9453,Pave,1Fam,7,1993,996,2,1,0,NA,Attchd,1993,RFn,2,457,194500
239,20,93,12030,Pave,1Fam,8,2007,1694,2,0,0,NA,Attchd,2007,Fin,3,818,318000
240,50,52,8741,Pave,1Fam,6,1945,735,1,1,1,Gd,Detchd,1949,Unf,1,220,113000
241,20,75,9000,Pave,1Fam,8,2008,1566,2,0,0,NA,Attchd,2008,RFn,2,750,262500
242,30,40,3880,Pave,1Fam,5,1945,686,1,0,0,NA,NA,NA,NA,0,0,110500
243,50,63,5000,Pave,1Fam,5,1900,540,1,0,0,NA,Attchd,1940,Unf,1,352,79000
244,160,75,10762,Pave,TwnhsE,6,1980,626,1,1,1,TA,Attchd,1980,RFn,1,288,120000
245,60,NA,8880,Pave,1Fam,7,1994,948,2,1,2,Fa,Attchd,1994,RFn,2,463,205000
246,20,80,10400,Pave,1Fam,7,1988,1845,2,0,1,TA,Attchd,1988,Fin,2,604,241500
247,190,69,9142,Pave,2fmCon,6,1910,1020,2,0,0,NA,Detchd,1910,Unf,1,440,137000
248,20,75,11310,Pave,1Fam,6,1954,1367,1,0,1,TA,Attchd,1954,Unf,2,451,140000
249,60,72,11317,Pave,1Fam,7,2003,840,2,1,0,NA,Attchd,2003,RFn,2,500,180000
250,50,NA,159000,Pave,1Fam,6,1958,1444,2,0,2,TA,Attchd,1958,Fin,2,389,277000
251,30,55,5350,Pave,1Fam,3,1940,728,1,0,0,NA,NA,NA,NA,0,0,76500
252,120,44,4750,Pave,TwnhsE,8,2006,1573,2,0,1,Gd,Attchd,2006,Fin,2,538,235000
253,60,65,8366,Pave,1Fam,6,2004,798,2,1,0,NA,Attchd,2004,RFn,2,520,173000
254,80,85,9350,Pave,1Fam,6,1964,1302,2,0,0,NA,Attchd,1964,RFn,1,309,158000
